theta_bin w_theta err_w_theta z_array Nz
1.176 1.310 0.209 5.099 701
1.693 1.061 0.148 5.297 874
2.541 0.472 0.073 5.495 1102
3.909 0.274 0.046 5.693 884
5.741 0.256 0.029 5.891 826
8.467 0.239 0.016 -999.000 -999
12.517 0.187 0.014 -999.000 -999
18.257 0.193 0.010 -999.000 -999
26.719 0.165 0.009 -999.000 -999
39.227 0.127 0.008 -999.000 -999
57.641 0.103 0.007 -999.000 -999
84.634 0.068 0.005 -999.000 -999
