theta_bin w_theta err_w_theta z_array Nz
1.179 2.708 3.588 8.099 213
1.695 1.221 1.949 8.297 224
2.540 1.470 1.325 8.495 237
3.911 0.695 0.650 8.693 188
5.745 0.516 0.521 8.891 191
8.471 0.172 0.390 -999.000 -999
12.515 0.206 0.218 -999.000 -999
18.256 0.213 0.201 -999.000 -999
26.722 0.269 0.111 -999.000 -999
39.226 0.145 0.064 -999.000 -999
57.633 0.100 0.042 -999.000 -999
84.621 0.078 0.030 -999.000 -999
