theta_bin w_theta err_w_theta z_array Nz
1.175 1.405 1.456 7.099 547
1.692 1.127 1.122 7.297 397
2.541 0.639 0.545 7.495 325
3.910 0.246 0.397 7.693 277
5.740 0.464 0.376 7.891 338
8.468 0.354 0.234 -999.000 -999
12.519 0.116 0.058 -999.000 -999
18.256 0.176 0.060 -999.000 -999
26.723 0.166 0.063 -999.000 -999
39.223 0.138 0.068 -999.000 -999
57.637 0.079 0.032 -999.000 -999
84.625 0.058 0.026 -999.000 -999
