theta_bin w_theta err_w_theta z_array Nz
nan nan nan 11.099 40
1.234 13.634 17.008 11.297 39
nan nan nan 11.495 39
3.416 0.363 2.689 11.693 37
5.551 0.417 2.763 11.891 59
7.947 0.293 1.255 -999.000 -999
12.227 0.107 0.747 -999.000 -999
17.884 0.041 0.291 -999.000 -999
26.429 -0.055 0.436 -999.000 -999
39.219 0.044 0.326 -999.000 -999
57.642 0.022 0.204 -999.000 -999
84.622 0.071 0.114 -999.000 -999
