theta_bin w_theta err_w_theta z_array Nz
nan nan nan 11.099 40
1.235 14.050 4.224 11.297 39
nan nan nan 11.495 39
3.418 0.414 0.664 11.693 37
5.552 0.349 0.664 11.891 59
7.947 0.332 0.296 -999.000 -999
12.228 0.133 0.208 -999.000 -999
17.884 -0.014 0.133 -999.000 -999
26.428 -0.054 0.123 -999.000 -999
39.219 0.040 0.090 -999.000 -999
57.642 0.018 0.062 -999.000 -999
84.624 0.064 0.030 -999.000 -999
