theta_bin w_theta err_w_theta z_array Nz
nan nan nan 10.099 22
1.443 2.285 1.587 10.297 44
2.179 2.912 2.906 10.495 83
3.248 0.730 0.751 10.693 104
5.262 -0.520 0.313 10.891 55
8.325 0.023 0.288 -999.000 -999
12.519 0.638 0.207 -999.000 -999
18.074 0.313 0.164 -999.000 -999
26.393 0.231 0.074 -999.000 -999
39.083 0.057 0.055 -999.000 -999
57.638 0.121 0.040 -999.000 -999
84.629 0.013 0.041 -999.000 -999
