theta_bin w_theta err_w_theta z_array Nz
nan nan nan 10.099 22
1.445 2.155 5.640 10.297 44
2.179 2.236 11.325 10.495 83
3.246 0.988 2.190 10.693 104
5.261 -0.455 1.054 10.891 55
8.324 0.115 0.805 -999.000 -999
12.519 0.595 0.679 -999.000 -999
18.074 0.321 0.638 -999.000 -999
26.393 0.230 0.290 -999.000 -999
39.084 0.052 0.178 -999.000 -999
57.639 0.110 0.138 -999.000 -999
84.630 0.011 0.148 -999.000 -999
