theta_bin w_theta err_w_theta z_array Nz
1.177 1.186 0.135 6.099 1374
1.692 0.921 0.092 6.297 739
2.541 0.532 0.050 6.495 1126
3.911 0.371 0.038 6.693 1867
5.741 0.340 0.022 6.891 953
8.467 0.230 0.020 -999.000 -999
12.518 0.227 0.012 -999.000 -999
18.259 0.206 0.011 -999.000 -999
26.725 0.168 0.009 -999.000 -999
39.227 0.133 0.006 -999.000 -999
57.642 0.117 0.005 -999.000 -999
84.631 0.086 0.003 -999.000 -999
