theta_bin w_theta err_w_theta z_array Nz
1.177 1.319 0.681 5.099 701
1.694 1.040 0.491 5.297 874
2.541 0.478 0.266 5.495 1102
3.908 0.272 0.183 5.693 884
5.741 0.256 0.075 5.891 826
8.468 0.236 0.056 -999.000 -999
12.518 0.187 0.041 -999.000 -999
18.257 0.194 0.033 -999.000 -999
26.719 0.167 0.031 -999.000 -999
39.227 0.129 0.028 -999.000 -999
57.642 0.106 0.023 -999.000 -999
84.634 0.069 0.021 -999.000 -999
