theta_bin w_theta err_w_theta z_array Nz
1.175 1.389 0.453 7.099 547
1.692 1.134 0.261 7.297 397
2.541 0.624 0.167 7.495 325
3.910 0.242 0.101 7.693 277
5.740 0.468 0.092 7.891 338
8.467 0.358 0.053 -999.000 -999
12.520 0.113 0.022 -999.000 -999
18.256 0.177 0.026 -999.000 -999
26.723 0.170 0.018 -999.000 -999
39.224 0.136 0.015 -999.000 -999
57.636 0.077 0.009 -999.000 -999
84.624 0.059 0.008 -999.000 -999
