theta_bin w_theta err_w_theta z_array Nz
1.038 2.097 3.439 9.099 267
1.695 0.775 2.207 9.297 248
2.540 0.657 1.563 9.495 86
3.917 1.185 0.761 9.693 37
5.744 0.087 0.536 9.891 86
8.469 0.392 0.461 -999.000 -999
12.515 0.480 0.259 -999.000 -999
18.256 0.286 0.290 -999.000 -999
26.726 0.271 0.154 -999.000 -999
39.224 0.134 0.097 -999.000 -999
57.642 0.196 0.062 -999.000 -999
84.628 0.134 0.056 -999.000 -999
