theta_bin w_theta err_w_theta z_array Nz
1.039 2.313 0.960 9.099 267
1.695 0.599 0.593 9.297 248
2.540 0.631 0.390 9.495 86
3.918 1.148 0.264 9.693 37
5.744 0.099 0.155 9.891 86
8.469 0.390 0.127 -999.000 -999
12.515 0.474 0.087 -999.000 -999
18.257 0.296 0.065 -999.000 -999
26.725 0.265 0.046 -999.000 -999
39.224 0.132 0.025 -999.000 -999
57.642 0.199 0.019 -999.000 -999
84.630 0.130 0.019 -999.000 -999
