theta_bin w_theta err_w_theta z_array Nz
1.177 1.190 0.624 6.099 1374
1.692 0.919 0.397 6.297 739
2.541 0.549 0.173 6.495 1126
3.910 0.373 0.152 6.693 1867
5.741 0.341 0.084 6.891 953
8.467 0.230 0.073 -999.000 -999
12.518 0.230 0.051 -999.000 -999
18.259 0.207 0.026 -999.000 -999
26.726 0.169 0.031 -999.000 -999
39.227 0.134 0.023 -999.000 -999
57.643 0.117 0.015 -999.000 -999
84.632 0.086 0.013 -999.000 -999
